;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;258;43;34.3548387097
1;2;Champagne;18;3;27.7777777778
2;3;Picardie;42;7;42.05
3;4;Haute-Normandie;42;7;26.6
4;5;Centre;30;5;35.3571428571
5;6;Basse-Normandie;30;5;44.6666666667
6;7;Bourgogne;12;2;26.6666666667
7;8;Nord;36;6;31.8235294118
8;9;Lorraine;60;10;27.1666666667
9;10;Alsace;18;3;33.8888888889
10;11;Franche Comté;12;2;21.0
11;12;Pays de la Loire;102;17;31.6666666667
12;13;Bretagne;96;16;30.9090909091
13;14;Poitou Charentes;24;4;29.5
14;15;Aquitaine;84;14;34.1951219512
15;16;Midi-Pyrénées;72;12;27.625
16;17;limousin;12;2;35.8333333333
17;18;Rhône-Alpes;120;20;37.2456140351
18;19;Auvergne;30;5;28.0
19;20;Languedoc;66;11;28.84375
20;21;Provence Côte d'Azur;60;10;28.7931034483
