;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;1914;319;31.9021864212
1;2;Champagne;420;70;30.9447513812
2;3;Picardie;474;79;30.779342723
3;4;Haute-Normandie;474;79;28.7042253521
4;5;Centre;678;113;31.1842105263
5;6;Basse-Normandie;516;86;32.0564516129
6;7;Bourgogne;192;32;29.9550561798
7;8;Nord;762;127;28.7747252747
8;9;Lorraine;684;114;31.786377709
9;10;Alsace;444;74;32.167539267
10;11;Franche Comté;480;80;31.4598214286
11;12;Pays de la Loire;750;125;30.75
12;13;Bretagne;714;119;32.9788519637
13;14;Poitou Charentes;540;90;31.4285714286
14;15;Aquitaine;882;147;31.2365853659
15;16;Midi-Pyrénées;468;78;30.0514018692
16;17;limousin;162;27;28.56
17;18;Rhône-Alpes;1188;198;29.8468468468
18;19;Auvergne;444;74;30.7632850242
19;20;Languedoc;852;142;29.7487437186
20;21;Provence Côte d'Azur;786;131;31.7213114754
