;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;288;48;32.6666666667
1;2;Champagne;42;7;35.9473684211
2;3;Picardie;54;9;62.4444444444
3;4;Haute-Normandie;102;17;38.6458333333
4;5;Centre;36;6;36.7647058824
5;6;Basse-Normandie;48;8;29.2608695652
6;7;Bourgogne;36;6;32.8125
7;8;Nord;78;13;26.7567567568
8;9;Lorraine;78;13;28.0810810811
9;10;Alsace;36;6;36.3125
10;11;Franche Comté;18;3;38.125
11;12;Pays de la Loire;84;14;26.5789473684
12;13;Bretagne;102;17;31.3673469388
13;14;Poitou Charentes;96;16;30.3333333333
14;15;Aquitaine;108;18;32.5510204082
15;16;Midi-Pyrénées;54;9;32.1739130435
16;17;limousin;6;1;35.0
17;18;Rhône-Alpes;186;31;34.7111111111
18;19;Auvergne;54;9;29.3913043478
19;20;Languedoc;72;12;28.3333333333
20;21;Provence Côte d'Azur;120;20;31.4285714286
