;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;3606;601;31.9299935774
1;2;Champagne;774;129;34.9321533923
2;3;Picardie;888;148;33.1116883117
3;4;Haute-Normandie;792;132;33.6473988439
4;5;Centre;1218;203;34.3031496063
5;6;Basse-Normandie;816;136;31.8597883598
6;7;Bourgogne;408;68;30.8626373626
7;8;Nord;1362;227;29.8677966102
8;9;Lorraine;1164;194;31.3390804598
9;10;Alsace;714;119;31.4262295082
10;11;Franche Comté;786;131;31.8739255014
11;12;Pays de la Loire;1350;225;32.9417637271
12;13;Bretagne;1320;220;33.942903752
13;14;Poitou Charentes;984;164;32.7392241379
14;15;Aquitaine;1464;244;31.9461538462
15;16;Midi-Pyrénées;918;153;31.9562043796
16;17;limousin;264;44;30.2086956522
17;18;Rhône-Alpes;2058;343;31.6067538126
18;19;Auvergne;702;117;32.254601227
19;20;Languedoc;1524;254;30.4560117302
20;21;Provence Côte d'Azur;1362;227;31.2617124394
