;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;48;8;33.5
1;2;Champagne;36;6;39.2857142857
2;3;Picardie;12;2;39.0
3;4;Haute-Normandie;24;4;31.5
4;5;Centre;36;6;30.3571428571
5;6;Basse-Normandie;24;4;24.0
6;7;Bourgogne;12;2;30.0
7;8;Nord;90;15;52.1428571429
8;9;Lorraine;30;5;31.7272727273
9;10;Alsace;24;4;22.5
10;11;Franche Comté;6;1;17.5
11;12;Pays de la Loire;12;2;45.1666666667
12;13;Bretagne;6;1;75.0
13;14;Poitou Charentes;18;3;21.25
14;15;Aquitaine;6;1;30.0
15;16;Midi-Pyrénées;12;2;15.0
16;17;limousin;24;4;25.0
17;18;Rhône-Alpes;30;5;23.5
18;19;Auvergne;6;1;25.0
19;20;Languedoc;18;3;76.6666666667
20;21;Provence Côte d'Azur;24;4;48.75
