;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;1692;282;31.5921787709
1;2;Champagne;354;59;30.7385620915
2;3;Picardie;414;69;31.7127071823
3;4;Haute-Normandie;318;53;31.7142857143
4;5;Centre;540;90;35.4444444444
5;6;Basse-Normandie;300;50;31.9402985075
6;7;Bourgogne;216;36;34.5052631579
7;8;Nord;600;100;29.3460076046
8;9;Lorraine;480;80;31.1827411168
9;10;Alsace;270;45;32.6574074074
10;11;Franche Comté;306;51;30.6642857143
11;12;Pays de la Loire;600;100;32.4444444444
12;13;Bretagne;606;101;34.3043478261
13;14;Poitou Charentes;444;74;34.3951219512
14;15;Aquitaine;582;97;33.4426229508
15;16;Midi-Pyrénées;450;75;31.9661835749
16;17;limousin;102;17;31.5227272727
17;18;Rhône-Alpes;870;145;30.074270557
18;19;Auvergne;258;43;37.3363636364
19;20;Languedoc;672;112;32.3902439024
20;21;Provence Côte d'Azur;576;96;33.5889328063
