;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;231;33;
1;2;Champagne;112;16;
2;3;Picardie;112;16;
3;4;Haute-Normandie;77;11;
4;5;Centre;91;13;
5;6;Basse-Normandie;98;14;
6;7;Bourgogne;35;5;
7;8;Nord;112;16;
8;9;Lorraine;119;17;
9;10;Alsace;105;15;
10;11;Franche Comté;21;3;
11;12;Pays de la Loire;154;22;
12;13;Bretagne;168;24;
13;14;Poitou Charentes;112;16;
14;15;Aquitaine;182;26;
15;16;Midi-Pyrénées;91;13;
16;17;limousin;21;3;
17;18;Rhône-Alpes;168;24;
18;19;Auvergne;63;9;
19;20;Languedoc;126;18;
20;21;Provence Côte d'Azur;126;18;
