;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;84;12;
1;2;Champagne;21;3;
2;3;Picardie;35;5;
3;4;Haute-Normandie;28;4;
4;5;Centre;70;10;
5;6;Basse-Normandie;21;3;
6;7;Bourgogne;42;6;
7;8;Nord;49;7;
8;9;Lorraine;42;6;
9;10;Alsace;28;4;
10;11;Franche Comté;21;3;
11;12;Pays de la Loire;63;9;
12;13;Bretagne;28;4;
13;14;Poitou Charentes;84;12;
14;15;Aquitaine;35;5;
15;16;Midi-Pyrénées;70;10;
16;17;limousin;14;2;
17;18;Rhône-Alpes;35;5;
18;19;Auvergne;28;4;
19;20;Languedoc;56;8;
20;21;Provence Côte d'Azur;42;6;
