;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;154;22;
1;2;Champagne;21;3;
2;3;Picardie;28;4;
3;4;Haute-Normandie;63;9;
4;5;Centre;21;3;
5;6;Basse-Normandie;21;3;
6;7;Bourgogne;21;3;
7;8;Nord;56;8;
8;9;Lorraine;56;8;
9;10;Alsace;14;2;
10;11;Franche Comté;14;2;
11;12;Pays de la Loire;56;8;
12;13;Bretagne;63;9;
13;14;Poitou Charentes;98;14;
14;15;Aquitaine;70;10;
15;16;Midi-Pyrénées;42;6;
16;17;limousin;0;0;
17;18;Rhône-Alpes;98;14;
18;19;Auvergne;56;8;
19;20;Languedoc;28;4;
20;21;Provence Côte d'Azur;70;10;
