;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;4207;601;
1;2;Champagne;903;129;
2;3;Picardie;1036;148;
3;4;Haute-Normandie;924;132;
4;5;Centre;1421;203;
5;6;Basse-Normandie;952;136;
6;7;Bourgogne;476;68;
7;8;Nord;1589;227;
8;9;Lorraine;1358;194;
9;10;Alsace;833;119;
10;11;Franche Comté;917;131;
11;12;Pays de la Loire;1575;225;
12;13;Bretagne;1540;220;
13;14;Poitou Charentes;1148;164;
14;15;Aquitaine;1708;244;
15;16;Midi-Pyrénées;1071;153;
16;17;limousin;308;44;
17;18;Rhône-Alpes;2401;343;
18;19;Auvergne;819;117;
19;20;Languedoc;1778;254;
20;21;Provence Côte d'Azur;1589;227;
