;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;154;22;
1;2;Champagne;28;4;
2;3;Picardie;28;4;
3;4;Haute-Normandie;35;5;
4;5;Centre;49;7;
5;6;Basse-Normandie;56;8;
6;7;Bourgogne;49;7;
7;8;Nord;91;13;
8;9;Lorraine;35;5;
9;10;Alsace;21;3;
10;11;Franche Comté;175;25;
11;12;Pays de la Loire;35;5;
12;13;Bretagne;70;10;
13;14;Poitou Charentes;49;7;
14;15;Aquitaine;49;7;
15;16;Midi-Pyrénées;49;7;
16;17;limousin;0;0;
17;18;Rhône-Alpes;70;10;
18;19;Auvergne;42;6;
19;20;Languedoc;84;12;
20;21;Provence Côte d'Azur;63;9;
