;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;119;17;
1;2;Champagne;42;6;
2;3;Picardie;35;5;
3;4;Haute-Normandie;21;3;
4;5;Centre;91;13;
5;6;Basse-Normandie;14;2;
6;7;Bourgogne;14;2;
7;8;Nord;49;7;
8;9;Lorraine;70;10;
9;10;Alsace;35;5;
10;11;Franche Comté;42;6;
11;12;Pays de la Loire;49;7;
12;13;Bretagne;56;8;
13;14;Poitou Charentes;70;10;
14;15;Aquitaine;119;17;
15;16;Midi-Pyrénées;77;11;
16;17;limousin;21;3;
17;18;Rhône-Alpes;126;18;
18;19;Auvergne;63;9;
19;20;Languedoc;98;14;
20;21;Provence Côte d'Azur;70;10;
