;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;1974;282;
1;2;Champagne;413;59;
2;3;Picardie;483;69;
3;4;Haute-Normandie;371;53;
4;5;Centre;630;90;
5;6;Basse-Normandie;350;50;
6;7;Bourgogne;252;36;
7;8;Nord;700;100;
8;9;Lorraine;560;80;
9;10;Alsace;315;45;
10;11;Franche Comté;357;51;
11;12;Pays de la Loire;700;100;
12;13;Bretagne;707;101;
13;14;Poitou Charentes;518;74;
14;15;Aquitaine;679;97;
15;16;Midi-Pyrénées;525;75;
16;17;limousin;119;17;
17;18;Rhône-Alpes;1015;145;
18;19;Auvergne;301;43;
19;20;Languedoc;784;112;
20;21;Provence Côte d'Azur;672;96;
