;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;238;34;
1;2;Champagne;14;2;
2;3;Picardie;35;5;
3;4;Haute-Normandie;98;14;
4;5;Centre;56;8;
5;6;Basse-Normandie;42;6;
6;7;Bourgogne;28;4;
7;8;Nord;35;5;
8;9;Lorraine;35;5;
9;10;Alsace;14;2;
10;11;Franche Comté;14;2;
11;12;Pays de la Loire;77;11;
12;13;Bretagne;112;16;
13;14;Poitou Charentes;28;4;
14;15;Aquitaine;77;11;
15;16;Midi-Pyrénées;49;7;
16;17;limousin;7;1;
17;18;Rhône-Alpes;161;23;
18;19;Auvergne;28;4;
19;20;Languedoc;98;14;
20;21;Provence Côte d'Azur;98;14;
