;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;336;48;
1;2;Champagne;49;7;
2;3;Picardie;63;9;
3;4;Haute-Normandie;119;17;
4;5;Centre;42;6;
5;6;Basse-Normandie;56;8;
6;7;Bourgogne;42;6;
7;8;Nord;91;13;
8;9;Lorraine;91;13;
9;10;Alsace;42;6;
10;11;Franche Comté;21;3;
11;12;Pays de la Loire;98;14;
12;13;Bretagne;119;17;
13;14;Poitou Charentes;112;16;
14;15;Aquitaine;126;18;
15;16;Midi-Pyrénées;63;9;
16;17;limousin;7;1;
17;18;Rhône-Alpes;217;31;
18;19;Auvergne;63;9;
19;20;Languedoc;84;12;
20;21;Provence Côte d'Azur;140;20;
