;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;126;18;
1;2;Champagne;28;4;
2;3;Picardie;42;6;
3;4;Haute-Normandie;42;6;
4;5;Centre;98;14;
5;6;Basse-Normandie;28;4;
6;7;Bourgogne;35;5;
7;8;Nord;63;9;
8;9;Lorraine;84;12;
9;10;Alsace;28;4;
10;11;Franche Comté;161;23;
11;12;Pays de la Loire;70;10;
12;13;Bretagne;63;9;
13;14;Poitou Charentes;98;14;
14;15;Aquitaine;70;10;
15;16;Midi-Pyrénées;84;12;
16;17;limousin;14;2;
17;18;Rhône-Alpes;140;20;
18;19;Auvergne;49;7;
19;20;Languedoc;63;9;
20;21;Provence Côte d'Azur;42;6;
