;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;245;35;
1;2;Champagne;7;1;
2;3;Picardie;49;7;
3;4;Haute-Normandie;7;1;
4;5;Centre;14;2;
5;6;Basse-Normandie;21;3;
6;7;Bourgogne;7;1;
7;8;Nord;28;4;
8;9;Lorraine;35;5;
9;10;Alsace;14;2;
10;11;Franche Comté;14;2;
11;12;Pays de la Loire;56;8;
12;13;Bretagne;14;2;
13;14;Poitou Charentes;7;1;
14;15;Aquitaine;35;5;
15;16;Midi-Pyrénées;35;5;
16;17;limousin;0;0;
17;18;Rhône-Alpes;70;10;
18;19;Auvergne;7;1;
19;20;Languedoc;7;1;
20;21;Provence Côte d'Azur;28;4;
