;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;98;14;
1;2;Champagne;21;3;
2;3;Picardie;7;1;
3;4;Haute-Normandie;28;4;
4;5;Centre;56;8;
5;6;Basse-Normandie;35;5;
6;7;Bourgogne;28;4;
7;8;Nord;21;3;
8;9;Lorraine;77;11;
9;10;Alsace;42;6;
10;11;Franche Comté;14;2;
11;12;Pays de la Loire;35;5;
12;13;Bretagne;63;9;
13;14;Poitou Charentes;63;9;
14;15;Aquitaine;91;13;
15;16;Midi-Pyrénées;35;5;
16;17;limousin;0;0;
17;18;Rhône-Alpes;42;6;
18;19;Auvergne;28;4;
19;20;Languedoc;63;9;
20;21;Provence Côte d'Azur;49;7;
