;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;4207;601;36.3872271625
1;2;Champagne;903;129;38.5664160401
2;3;Picardie;1036;148;37.6634304207
3;4;Haute-Normandie;924;132;35.7468513854
4;5;Centre;1421;203;38.2794361526
5;6;Basse-Normandie;952;136;36.8321995465
6;7;Bourgogne;476;68;38.8424657534
7;8;Nord;1589;227;34.1888501742
8;9;Lorraine;1358;194;35.8609756098
9;10;Alsace;833;119;34.1067567568
10;11;Franche Comté;917;131;36.5997596154
11;12;Pays de la Loire;1575;225;37.5164681149
12;13;Bretagne;1540;220;39.8463726885
13;14;Poitou Charentes;1148;164;37.7892791128
14;15;Aquitaine;1708;244;37.7314102564
15;16;Midi-Pyrénées;1071;153;38.1532175689
16;17;limousin;308;44;37.7153024911
17;18;Rhône-Alpes;2401;343;35.9826325411
18;19;Auvergne;819;117;37.231884058
19;20;Languedoc;1778;254;35.4233353696
20;21;Provence Côte d'Azur;1589;227;36.8517482517
