;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;26;26;30.4761904762
1;2;Champagne;2;2;45.0
2;3;Picardie;2;2;
3;4;Haute-Normandie;3;3;30.0
4;5;Centre;6;6;32.5
5;6;Basse-Normandie;3;3;43.3333333333
6;7;Bourgogne;0;0;
7;8;Nord;10;10;34.5
8;9;Lorraine;7;7;30.0
9;10;Alsace;13;13;37.0833333333
10;11;Franche Comté;6;6;40.8333333333
11;12;Pays de la Loire;13;13;43.4615384615
12;13;Bretagne;7;7;34.5
13;14;Poitou Charentes;4;4;23.75
14;15;Aquitaine;6;6;41.0
15;16;Midi-Pyrénées;6;6;37.5
16;17;limousin;4;4;45.0
17;18;Rhône-Alpes;16;16;32.8571428571
18;19;Auvergne;7;7;36.6666666667
19;20;Languedoc;7;7;34.2857142857
20;21;Provence Côte d'Azur;5;5;37.0
