;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;601;601;36.5716945996
1;2;Champagne;129;129;43.0695652174
2;3;Picardie;148;148;35.7109375
3;4;Haute-Normandie;132;132;39.0416666667
4;5;Centre;203;203;39.0701754386
5;6;Basse-Normandie;136;136;37.0403225806
6;7;Bourgogne;68;68;38.7301587302
7;8;Nord;227;227;33.995
8;9;Lorraine;194;194;36.4831460674
9;10;Alsace;119;119;36.9523809524
10;11;Franche Comté;131;131;36.3534482759
11;12;Pays de la Loire;225;225;38.2146341463
12;13;Bretagne;220;220;40.4236453202
13;14;Poitou Charentes;164;164;37.7721518987
14;15;Aquitaine;244;244;37.9066666667
15;16;Midi-Pyrénées;153;153;38.0797101449
16;17;limousin;44;44;36.1315789474
17;18;Rhône-Alpes;343;343;37.9082278481
18;19;Auvergne;117;117;37.8818181818
19;20;Languedoc;254;254;35.5170940171
20;21;Provence Côte d'Azur;227;227;35.8743961353
