;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;601;601;36.7996146435
1;2;Champagne;129;129;37.6754385965
2;3;Picardie;148;148;37.6614173228
3;4;Haute-Normandie;132;132;35.6578947368
4;5;Centre;203;203;38.186746988
5;6;Basse-Normandie;136;136;40.0403225806
6;7;Bourgogne;68;68;38.2580645161
7;8;Nord;227;227;36.039800995
8;9;Lorraine;194;194;36.7093023256
9;10;Alsace;119;119;31.5420560748
10;11;Franche Comté;131;131;35.9482758621
11;12;Pays de la Loire;225;225;37.37
12;13;Bretagne;220;220;39.91
13;14;Poitou Charentes;164;164;40.1483870968
14;15;Aquitaine;244;244;38.7945205479
15;16;Midi-Pyrénées;153;153;38.75
16;17;limousin;44;44;35.875
17;18;Rhône-Alpes;343;343;36.6534653465
18;19;Auvergne;117;117;36.7075471698
19;20;Languedoc;254;254;37.4130434783
20;21;Provence Côte d'Azur;227;227;36.3636363636
