;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;60;60;28.9056603774
1;2;Champagne;4;4;30.0
2;3;Picardie;22;22;31.1904761905
3;4;Haute-Normandie;13;13;38.4615384615
4;5;Centre;9;9;37.1428571429
5;6;Basse-Normandie;12;12;53.6363636364
6;7;Bourgogne;9;9;42.2222222222
7;8;Nord;9;9;31.25
8;9;Lorraine;17;17;32.0
9;10;Alsace;12;12;32.5
10;11;Franche Comté;8;8;25.7142857143
11;12;Pays de la Loire;26;26;32.9166666667
12;13;Bretagne;17;17;38.6666666667
13;14;Poitou Charentes;10;10;48.5
14;15;Aquitaine;21;21;28.5
15;16;Midi-Pyrénées;8;8;61.25
16;17;limousin;4;4;45.0
17;18;Rhône-Alpes;46;46;34.2790697674
18;19;Auvergne;8;8;32.5
19;20;Languedoc;20;20;32.5
20;21;Provence Côte d'Azur;28;28;29.0740740741
