;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;319;319;37.119133574
1;2;Champagne;70;70;40.406779661
2;3;Picardie;79;79;33.3333333333
3;4;Haute-Normandie;79;79;35.7142857143
4;5;Centre;113;113;37.1914893617
5;6;Basse-Normandie;86;86;40.1772151899
6;7;Bourgogne;32;32;36.7857142857
7;8;Nord;127;127;37.963963964
8;9;Lorraine;114;114;37.819047619
9;10;Alsace;74;74;29.6567164179
10;11;Franche Comté;80;80;35.2985074627
11;12;Pays de la Loire;125;125;37.4375
12;13;Bretagne;119;119;38.8037383178
13;14;Poitou Charentes;90;90;36.7586206897
14;15;Aquitaine;147;147;36.6496350365
15;16;Midi-Pyrénées;78;78;36.0294117647
16;17;limousin;27;27;32.2916666667
17;18;Rhône-Alpes;198;198;35.8081395349
18;19;Auvergne;74;74;35.8235294118
19;20;Languedoc;142;142;34.671875
20;21;Provence Côte d'Azur;131;131;37.5877192982
