;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;282;282;35.1803278689
1;2;Champagne;59;59;35.0384615385
2;3;Picardie;69;69;34.2
3;4;Haute-Normandie;53;53;35.3571428571
4;5;Centre;90;90;47.6268656716
5;6;Basse-Normandie;50;50;35.7954545455
6;7;Bourgogne;36;36;41.09375
7;8;Nord;100;100;33.5934065934
8;9;Lorraine;80;80;36.5454545455
9;10;Alsace;45;45;37.2972972973
10;11;Franche Comté;51;51;34.5833333333
11;12;Pays de la Loire;100;100;40.5057471264
12;13;Bretagne;101;101;42.989010989
13;14;Poitou Charentes;74;74;41.2058823529
14;15;Aquitaine;97;97;36.5609756098
15;16;Midi-Pyrénées;75;75;39.0555555556
16;17;limousin;17;17;38.3333333333
17;18;Rhône-Alpes;145;145;36.5813953488
18;19;Auvergne;43;43;41.8611111111
19;20;Languedoc;112;112;38.0707070707
20;21;Provence Côte d'Azur;96;96;36.5243902439
