;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;26;26;33.0
1;2;Champagne;2;2;25.0
2;3;Picardie;2;2;30.0
3;4;Haute-Normandie;3;3;25.0
4;5;Centre;6;6;43.75
5;6;Basse-Normandie;3;3;73.3333333333
6;7;Bourgogne;0;0;
7;8;Nord;10;10;18.6
8;9;Lorraine;7;7;24.2857142857
9;10;Alsace;13;13;31.25
10;11;Franche Comté;6;6;40.8333333333
11;12;Pays de la Loire;13;13;32.7272727273
12;13;Bretagne;7;7;36.6
13;14;Poitou Charentes;4;4;37.5
14;15;Aquitaine;6;6;28.3333333333
15;16;Midi-Pyrénées;6;6;33.0
16;17;limousin;4;4;51.25
17;18;Rhône-Alpes;16;16;34.2857142857
18;19;Auvergne;7;7;32.8571428571
19;20;Languedoc;7;7;26.8571428571
20;21;Provence Côte d'Azur;5;5;42.0
