;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;336;48;35.7868338558
1;2;Champagne;49;7;41.8043478261
2;3;Picardie;63;9;43.6885245902
3;4;Haute-Normandie;119;17;35.1875
4;5;Centre;42;6;41.8292682927
5;6;Basse-Normandie;56;8;43.2830188679
6;7;Bourgogne;42;6;45.8333333333
7;8;Nord;91;13;31.2413793103
8;9;Lorraine;91;13;31.1084337349
9;10;Alsace;42;6;34.4285714286
10;11;Franche Comté;21;3;28.8095238095
11;12;Pays de la Loire;98;14;36.0112359551
12;13;Bretagne;119;17;40.3620689655
13;14;Poitou Charentes;112;16;34.8571428571
14;15;Aquitaine;126;18;37.6636363636
15;16;Midi-Pyrénées;63;9;37.1724137931
16;17;limousin;7;1;27.8571428571
17;18;Rhône-Alpes;217;31;39.7487922705
18;19;Auvergne;63;9;35.9811320755
19;20;Languedoc;84;12;36.2025316456
20;21;Provence Côte d'Azur;140;20;37.1085271318
