;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;203;29;36.7303370787
1;2;Champagne;42;6;44.0526315789
2;3;Picardie;77;11;35.0
3;4;Haute-Normandie;84;12;38.5507246377
4;5;Centre;91;13;36.9166666667
5;6;Basse-Normandie;56;8;32.2448979592
6;7;Bourgogne;49;7;40.9183673469
7;8;Nord;98;14;37.5
8;9;Lorraine;140;20;37.037037037
9;10;Alsace;63;9;35.0925925926
10;11;Franche Comté;21;3;20.9523809524
11;12;Pays de la Loire;105;15;41.6853932584
12;13;Bretagne;119;17;39.6956521739
13;14;Poitou Charentes;91;13;36.2317073171
14;15;Aquitaine;189;27;39.3895348837
15;16;Midi-Pyrénées;98;14;40.1724137931
16;17;limousin;14;2;40.7142857143
17;18;Rhône-Alpes;154;22;36.75
18;19;Auvergne;49;7;39.6666666667
19;20;Languedoc;126;18;37.2352941176
20;21;Provence Côte d'Azur;105;15;35.0421052632
