;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;1974;282;36.3458049887
1;2;Champagne;413;59;39.118556701
2;3;Picardie;483;69;39.1995412844
3;4;Haute-Normandie;371;53;36.7120253165
4;5;Centre;630;90;41.2810707457
5;6;Basse-Normandie;350;50;37.2802547771
6;7;Bourgogne;252;36;38.063559322
7;8;Nord;700;100;34.345659164
8;9;Lorraine;560;80;34.3326530612
9;10;Alsace;315;45;35.8623188406
10;11;Franche Comté;357;51;37.0175953079
11;12;Pays de la Loire;700;100;38.8129952456
12;13;Bretagne;707;101;42.0672782875
13;14;Poitou Charentes;518;74;40.1991701245
14;15;Aquitaine;679;97;38.2909698997
15;16;Midi-Pyrénées;525;75;39.2802419355
16;17;limousin;119;17;40.1666666667
17;18;Rhône-Alpes;1015;145;37.5016146394
18;19;Auvergne;301;43;38.5641025641
19;20;Languedoc;784;112;36.9355742297
20;21;Provence Côte d'Azur;672;96;36.1548821549
