;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;4207;601;37.2986073915
1;2;Champagne;903;129;38.140567201
2;3;Picardie;1036;148;40.3727748691
3;4;Haute-Normandie;924;132;38.9829476248
4;5;Centre;1421;203;39.5881410256
5;6;Basse-Normandie;952;136;40.364142539
6;7;Bourgogne;476;68;37.3886255924
7;8;Nord;1589;227;33.2946490618
8;9;Lorraine;1358;194;35.8973536488
9;10;Alsace;833;119;35.1637347767
10;11;Franche Comté;917;131;35.7768595041
11;12;Pays de la Loire;1575;225;39.1834733894
12;13;Bretagne;1540;220;39.6027777778
13;14;Poitou Charentes;1148;164;38.9016544118
14;15;Aquitaine;1708;244;37.458279846
15;16;Midi-Pyrénées;1071;153;37.755
16;17;limousin;308;44;36.9270833333
17;18;Rhône-Alpes;2401;343;36.875403784
18;19;Auvergne;819;117;36.4409857328
19;20;Languedoc;1778;254;35.9932598039
20;21;Provence Côte d'Azur;1589;227;37.9864038069
