;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;601;601;37.1160714286
1;2;Champagne;129;129;38.8852459016
2;3;Picardie;148;148;37.4965034965
3;4;Haute-Normandie;132;132;39.746031746
4;5;Centre;203;203;37.5187165775
5;6;Basse-Normandie;136;136;38.828358209
6;7;Bourgogne;68;68;40.9677419355
7;8;Nord;227;227;33.441314554
8;9;Lorraine;194;194;37.4840425532
9;10;Alsace;119;119;31.6697247706
10;11;Franche Comté;131;131;36.696
11;12;Pays de la Loire;225;225;41.1830985915
12;13;Bretagne;220;220;41.6602870813
13;14;Poitou Charentes;164;164;37.1363636364
14;15;Aquitaine;244;244;38.8638297872
15;16;Midi-Pyrénées;153;153;38.0
16;17;limousin;44;44;35.0
17;18;Rhône-Alpes;343;343;36.4680851064
18;19;Auvergne;117;117;36.0089285714
19;20;Languedoc;254;254;37.5983263598
20;21;Provence Côte d'Azur;227;227;35.7201834862
