;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;319;319;38.7837837838
1;2;Champagne;70;70;36.9682539683
2;3;Picardie;79;79;33.9864864865
3;4;Haute-Normandie;79;79;34.5131578947
4;5;Centre;113;113;37.8557692308
5;6;Basse-Normandie;86;86;40.2
6;7;Bourgogne;32;32;36.1379310345
7;8;Nord;127;127;30.9180327869
8;9;Lorraine;114;114;37.2844036697
9;10;Alsace;74;74;37.1666666667
10;11;Franche Comté;80;80;37.3108108108
11;12;Pays de la Loire;125;125;38.7521367521
12;13;Bretagne;119;119;41.4396551724
13;14;Poitou Charentes;90;90;38.7356321839
14;15;Aquitaine;147;147;34.9352517986
15;16;Midi-Pyrénées;78;78;38.2465753425
16;17;limousin;27;27;30.6
17;18;Rhône-Alpes;198;198;34.6145251397
18;19;Auvergne;74;74;33.7428571429
19;20;Languedoc;142;142;33.2941176471
20;21;Provence Côte d'Azur;131;131;37.7619047619
