;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;22;22;50.380952381
1;2;Champagne;3;3;43.0
2;3;Picardie;4;4;82.5
3;4;Haute-Normandie;9;9;34.4444444444
4;5;Centre;3;3;28.3333333333
5;6;Basse-Normandie;3;3;30.0
6;7;Bourgogne;3;3;37.5
7;8;Nord;8;8;30.625
8;9;Lorraine;8;8;31.25
9;10;Alsace;2;2;20.0
10;11;Franche Comté;2;2;20.0
11;12;Pays de la Loire;8;8;50.625
12;13;Bretagne;9;9;36.25
13;14;Poitou Charentes;14;14;36.1538461538
14;15;Aquitaine;10;10;30.5555555556
15;16;Midi-Pyrénées;6;6;29.1666666667
16;17;limousin;0;0;
17;18;Rhône-Alpes;14;14;30.3571428571
18;19;Auvergne;8;8;29.2857142857
19;20;Languedoc;4;4;42.5
20;21;Provence Côte d'Azur;10;10;35.7
