;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;15;15;40.7692307692
1;2;Champagne;3;3;36.6666666667
2;3;Picardie;10;10;56.1
3;4;Haute-Normandie;8;8;29.2857142857
4;5;Centre;5;5;73.0
5;6;Basse-Normandie;3;3;32.5
6;7;Bourgogne;3;3;50.0
7;8;Nord;11;11;32.7272727273
8;9;Lorraine;9;9;46.25
9;10;Alsace;3;3;22.5
10;11;Franche Comté;1;1;20.0
11;12;Pays de la Loire;10;10;45.5555555556
12;13;Bretagne;8;8;31.875
13;14;Poitou Charentes;4;4;41.25
14;15;Aquitaine;14;14;35.8333333333
15;16;Midi-Pyrénées;9;9;45.0
16;17;limousin;2;2;30.0
17;18;Rhône-Alpes;16;16;30.9375
18;19;Auvergne;3;3;126.666666667
19;20;Languedoc;9;9;36.1111111111
20;21;Provence Côte d'Azur;8;8;88.5714285714
