;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;17;17;27.6923076923
1;2;Champagne;6;6;23.3333333333
2;3;Picardie;5;5;39.0
3;4;Haute-Normandie;3;3;43.3333333333
4;5;Centre;13;13;50.0
5;6;Basse-Normandie;2;2;45.0
6;7;Bourgogne;2;2;25.0
7;8;Nord;7;7;33.75
8;9;Lorraine;10;10;26.7142857143
9;10;Alsace;5;5;41.25
10;11;Franche Comté;6;6;30.8333333333
11;12;Pays de la Loire;7;7;27.5
12;13;Bretagne;8;8;42.5
13;14;Poitou Charentes;10;10;24.5
14;15;Aquitaine;17;17;29.0
15;16;Midi-Pyrénées;11;11;32.0
16;17;limousin;3;3;27.5
17;18;Rhône-Alpes;18;18;44.2307692308
18;19;Auvergne;9;9;30.7777777778
19;20;Languedoc;14;14;30.0
20;21;Provence Côte d'Azur;10;10;26.7
