;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;601;601;36.3254901961
1;2;Champagne;129;129;40.5431034483
2;3;Picardie;148;148;39.0820895522
3;4;Haute-Normandie;132;132;38.4272727273
4;5;Centre;203;203;39.8538011696
5;6;Basse-Normandie;136;136;41.4921875
6;7;Bourgogne;68;68;40.2203389831
7;8;Nord;227;227;30.512195122
8;9;Lorraine;194;194;37.5917159763
9;10;Alsace;119;119;34.637254902
10;11;Franche Comté;131;131;34.8991596639
11;12;Pays de la Loire;225;225;36.4365482234
12;13;Bretagne;220;220;37.5658536585
13;14;Poitou Charentes;164;164;38.2064516129
14;15;Aquitaine;244;244;37.2136363636
15;16;Midi-Pyrénées;153;153;37.5539568345
16;17;limousin;44;44;35.5
17;18;Rhône-Alpes;343;343;35.6524590164
18;19;Auvergne;117;117;39.6388888889
19;20;Languedoc;254;254;36.875
20;21;Provence Côte d'Azur;227;227;38.3509615385
