;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;282;282;36.9372384937
1;2;Champagne;59;59;35.8909090909
2;3;Picardie;69;69;42.0833333333
3;4;Haute-Normandie;53;53;37.0540540541
4;5;Centre;90;90;38.0
5;6;Basse-Normandie;50;50;43.3333333333
6;7;Bourgogne;36;36;36.0606060606
7;8;Nord;100;100;29.8372093023
8;9;Lorraine;80;80;33.484375
9;10;Alsace;45;45;33.4473684211
10;11;Franche Comté;51;51;33.7234042553
11;12;Pays de la Loire;100;100;36.5647058824
12;13;Bretagne;101;101;45.4651162791
13;14;Poitou Charentes;74;74;43.2089552239
14;15;Aquitaine;97;97;38.4358974359
15;16;Midi-Pyrénées;75;75;39.5373134328
16;17;limousin;17;17;50.625
17;18;Rhône-Alpes;145;145;35.487804878
18;19;Auvergne;43;43;35.2564102564
19;20;Languedoc;112;112;33.4526315789
20;21;Provence Côte d'Azur;96;96;36.5172413793
