;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;742;106;37.4839228296
1;2;Champagne;294;42;39.0330882353
2;3;Picardie;119;17;38.018018018
3;4;Haute-Normandie;49;7;37.0652173913
4;5;Centre;315;45;40.5416666667
5;6;Basse-Normandie;119;17;44.6902654867
6;7;Bourgogne;56;8;32.641509434
7;8;Nord;399;57;30.9450549451
8;9;Lorraine;147;21;37.4962962963
9;10;Alsace;56;8;38.52
10;11;Franche Comté;63;9;35.3965517241
11;12;Pays de la Loire;196;28;37.9347826087
12;13;Bretagne;147;21;40.1956521739
13;14;Poitou Charentes;105;15;42.6442307692
14;15;Aquitaine;133;19;42.6371681416
15;16;Midi-Pyrénées;56;8;34.9056603774
16;17;limousin;14;2;32.5
17;18;Rhône-Alpes;126;18;33.0737704918
18;19;Auvergne;77;11;40.4054054054
19;20;Languedoc;294;42;38.1183206107
20;21;Provence Côte d'Azur;231;33;38.309178744
