;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;126;18;34.3103448276
1;2;Champagne;28;4;31.1111111111
2;3;Picardie;42;6;32.625
3;4;Haute-Normandie;42;6;34.1666666667
4;5;Centre;98;14;36.0238095238
5;6;Basse-Normandie;28;4;55.962962963
6;7;Bourgogne;35;5;27.125
7;8;Nord;63;9;34.7884615385
8;9;Lorraine;84;12;30.88
9;10;Alsace;28;4;27.1739130435
10;11;Franche Comté;161;23;34.8926174497
11;12;Pays de la Loire;70;10;39.2857142857
12;13;Bretagne;63;9;36.0576923077
13;14;Poitou Charentes;98;14;32.5306122449
14;15;Aquitaine;70;10;34.0350877193
15;16;Midi-Pyrénées;84;12;41.3292682927
16;17;limousin;14;2;51.9230769231
17;18;Rhône-Alpes;140;20;35.48
18;19;Auvergne;49;7;32.8125
19;20;Languedoc;63;9;40.1458333333
20;21;Provence Côte d'Azur;42;6;39.5277777778
