;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;84;12;40.2857142857
1;2;Champagne;21;3;50.2380952381
2;3;Picardie;35;5;31.1666666667
3;4;Haute-Normandie;28;4;44.1666666667
4;5;Centre;70;10;37.5
5;6;Basse-Normandie;21;3;51.4285714286
6;7;Bourgogne;42;6;40.8529411765
7;8;Nord;49;7;24.8863636364
8;9;Lorraine;42;6;38.8157894737
9;10;Alsace;28;4;26.6153846154
10;11;Franche Comté;21;3;35.2380952381
11;12;Pays de la Loire;63;9;33.4918032787
12;13;Bretagne;28;4;32.0
13;14;Poitou Charentes;84;12;52.2987012987
14;15;Aquitaine;35;5;40.3125
15;16;Midi-Pyrénées;70;10;35.6349206349
16;17;limousin;14;2;33.8461538462
17;18;Rhône-Alpes;35;5;33.3870967742
18;19;Auvergne;28;4;46.0714285714
19;20;Languedoc;56;8;34.2452830189
20;21;Provence Côte d'Azur;42;6;33.5897435897
