;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;2233;319;36.6606776181
1;2;Champagne;490;70;37.4547619048
2;3;Picardie;553;79;40.1100196464
3;4;Haute-Normandie;553;79;39.1343873518
4;5;Centre;791;113;38.1939655172
5;6;Basse-Normandie;602;86;38.5596491228
6;7;Bourgogne;224;32;37.4074074074
7;8;Nord;889;127;32.500622665
8;9;Lorraine;798;114;36.1072386059
9;10;Alsace;518;74;35.4282608696
10;11;Franche Comté;560;80;35.8754940711
11;12;Pays de la Loire;875;125;38.7687420584
12;13;Bretagne;833;119;38.8628205128
13;14;Poitou Charentes;630;90;37.9549248748
14;15;Aquitaine;1029;147;35.7717277487
15;16;Midi-Pyrénées;546;78;37.630952381
16;17;limousin;189;27;34.6875
17;18;Rhône-Alpes;1386;198;37.3072580645
18;19;Auvergne;518;74;36.2194616977
19;20;Languedoc;994;142;35.7037037037
20;21;Provence Côte d'Azur;917;131;39.0070921986
