;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;4207;601;21.3189902467
1;2;Champagne;903;129;21.5243902439
2;3;Picardie;1036;148;20.1320754717
3;4;Haute-Normandie;924;132;19.8993548387
4;5;Centre;1421;203;19.8772084806
5;6;Basse-Normandie;952;136;19.1324582339
6;7;Bourgogne;476;68;20.86492891
7;8;Nord;1589;227;19.7072987208
8;9;Lorraine;1358;194;20.9635284139
9;10;Alsace;833;119;22.044576523
10;11;Franche Comté;917;131;21.9820051414
11;12;Pays de la Loire;1575;225;19.5230987918
12;13;Bretagne;1540;220;20.1724386724
13;14;Poitou Charentes;1148;164;20.6236663434
14;15;Aquitaine;1708;244;20.7571623465
15;16;Midi-Pyrénées;1071;153;18.601511879
16;17;limousin;308;44;19.5488721805
17;18;Rhône-Alpes;2401;343;18.9674282936
18;19;Auvergne;819;117;19.5786516854
19;20;Languedoc;1778;254;19.6616094987
20;21;Provence Côte d'Azur;1589;227;20.093974175
