;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;601;601;20.0848708487
1;2;Champagne;129;129;20.358974359
2;3;Picardie;148;148;19.4087591241
3;4;Haute-Normandie;132;132;18.0661157025
4;5;Centre;203;203;19.5722543353
5;6;Basse-Normandie;136;136;17.5625
6;7;Bourgogne;68;68;21.2307692308
7;8;Nord;227;227;19.0303030303
8;9;Lorraine;194;194;19.8784530387
9;10;Alsace;119;119;22.8921568627
10;11;Franche Comté;131;131;20.6859504132
11;12;Pays de la Loire;225;225;18.2654028436
12;13;Bretagne;220;220;19.4879227053
13;14;Poitou Charentes;164;164;21.0
14;15;Aquitaine;244;244;19.3183856502
15;16;Midi-Pyrénées;153;153;16.6241134752
16;17;limousin;44;44;18.8717948718
17;18;Rhône-Alpes;343;343;17.5865384615
18;19;Auvergne;117;117;17.7685185185
19;20;Languedoc;254;254;18.7565217391
20;21;Provence Côte d'Azur;227;227;18.4114832536
