;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;601;601;21.5451055662
1;2;Champagne;129;129;21.7238095238
2;3;Picardie;148;148;19.4586466165
3;4;Haute-Normandie;132;132;20.7931034483
4;5;Centre;203;203;20.3515151515
5;6;Basse-Normandie;136;136;18.7804878049
6;7;Bourgogne;68;68;19.3114754098
7;8;Nord;227;227;19.5721925134
8;9;Lorraine;194;194;20.8926553672
9;10;Alsace;119;119;21.5
10;11;Franche Comté;131;131;22.9411764706
11;12;Pays de la Loire;225;225;19.7572815534
12;13;Bretagne;220;220;19.785
13;14;Poitou Charentes;164;164;21.38
14;15;Aquitaine;244;244;20.7924528302
15;16;Midi-Pyrénées;153;153;18.9179104478
16;17;limousin;44;44;19.7368421053
17;18;Rhône-Alpes;343;343;19.8344370861
18;19;Auvergne;117;117;18.8
19;20;Languedoc;254;254;19.1674208145
20;21;Provence Côte d'Azur;227;227;20.0445544554
