;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;319;319;22.8964285714
1;2;Champagne;70;70;21.625
2;3;Picardie;79;79;19.5652173913
3;4;Haute-Normandie;79;79;21.8571428571
4;5;Centre;113;113;21.1063829787
5;6;Basse-Normandie;86;86;18.164556962
6;7;Bourgogne;32;32;18.724137931
7;8;Nord;127;127;19.0380952381
8;9;Lorraine;114;114;21.0891089109
9;10;Alsace;74;74;23.5714285714
10;11;Franche Comté;80;80;23.7083333333
11;12;Pays de la Loire;125;125;18.6875
12;13;Bretagne;119;119;19.0825688073
13;14;Poitou Charentes;90;90;21.3294117647
14;15;Aquitaine;147;147;20.0852713178
15;16;Midi-Pyrénées;78;78;20.421875
16;17;limousin;27;27;18.0
17;18;Rhône-Alpes;198;198;20.2067039106
18;19;Auvergne;74;74;19.2272727273
19;20;Languedoc;142;142;19.1382113821
20;21;Provence Côte d'Azur;131;131;19.8548387097
