;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;319;319;22.7937743191
1;2;Champagne;70;70;23.0175438596
2;3;Picardie;79;79;20.2794117647
3;4;Haute-Normandie;79;79;21.0714285714
4;5;Centre;113;113;20.6304347826
5;6;Basse-Normandie;86;86;21.1216216216
6;7;Bourgogne;32;32;18.75
7;8;Nord;127;127;19.0857142857
8;9;Lorraine;114;114;21.3125
9;10;Alsace;74;74;21.3870967742
10;11;Franche Comté;80;80;21.3174603175
11;12;Pays de la Loire;125;125;18.8504672897
12;13;Bretagne;119;119;19.3653846154
13;14;Poitou Charentes;90;90;19.275
14;15;Aquitaine;147;147;19.6946564885
15;16;Midi-Pyrénées;78;78;18.7230769231
16;17;limousin;27;27;17.4782608696
17;18;Rhône-Alpes;198;198;20.9761904762
18;19;Auvergne;74;74;21.0
19;20;Languedoc;142;142;20.8666666667
20;21;Provence Côte d'Azur;131;131;19.7913043478
