;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;33;33;20.0740740741
1;2;Champagne;16;16;28.3333333333
2;3;Picardie;16;16;21.3125
3;4;Haute-Normandie;11;11;20.0
4;5;Centre;13;13;21.6666666667
5;6;Basse-Normandie;14;14;21.1538461538
6;7;Bourgogne;5;5;20.0
7;8;Nord;16;16;17.8125
8;9;Lorraine;17;17;22.8571428571
9;10;Alsace;15;15;24.1818181818
10;11;Franche Comté;3;3;20.0
11;12;Pays de la Loire;22;22;16.8421052632
12;13;Bretagne;24;24;22.8636363636
13;14;Poitou Charentes;16;16;24.6428571429
14;15;Aquitaine;26;26;21.4285714286
15;16;Midi-Pyrénées;13;13;20.0
16;17;limousin;3;3;9.0
17;18;Rhône-Alpes;24;24;14.35
18;19;Auvergne;9;9;21.8571428571
19;20;Languedoc;18;18;17.0
20;21;Provence Côte d'Azur;18;18;28.2142857143
