;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;336;48;19.3210702341
1;2;Champagne;49;7;22.5365853659
2;3;Picardie;63;9;23.5862068966
3;4;Haute-Normandie;119;17;19.7169811321
4;5;Centre;42;6;16.5151515152
5;6;Basse-Normandie;56;8;20.3888888889
6;7;Bourgogne;42;6;19.9444444444
7;8;Nord;91;13;20.3289473684
8;9;Lorraine;91;13;16.8607594937
9;10;Alsace;42;6;10.3448275862
10;11;Franche Comté;21;3;22.0588235294
11;12;Pays de la Loire;98;14;17.9222222222
12;13;Bretagne;119;17;20.4504504505
13;14;Poitou Charentes;112;16;19.3333333333
14;15;Aquitaine;126;18;20.6909090909
15;16;Midi-Pyrénées;63;9;20.8936170213
16;17;limousin;7;1;17.1428571429
17;18;Rhône-Alpes;217;31;16.5054347826
18;19;Auvergne;63;9;16.9272727273
19;20;Languedoc;84;12;18.7391304348
20;21;Provence Côte d'Azur;140;20;19.3515625
