;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;154;22;26.6068376068
1;2;Champagne;28;4;21.25
2;3;Picardie;28;4;18.4615384615
3;4;Haute-Normandie;35;5;17.59375
4;5;Centre;49;7;26.3870967742
5;6;Basse-Normandie;56;8;15.2765957447
6;7;Bourgogne;49;7;23.8888888889
7;8;Nord;91;13;19.803030303
8;9;Lorraine;35;5;18.6285714286
9;10;Alsace;21;3;20.3333333333
10;11;Franche Comté;175;25;27.1351351351
11;12;Pays de la Loire;35;5;20.3333333333
12;13;Bretagne;70;10;19.9047619048
13;14;Poitou Charentes;49;7;19.6666666667
14;15;Aquitaine;49;7;18.9285714286
15;16;Midi-Pyrénées;49;7;24.2682926829
16;17;limousin;0;0;
17;18;Rhône-Alpes;70;10;15.5084745763
18;19;Auvergne;42;6;20.6
19;20;Languedoc;84;12;22.9649122807
20;21;Provence Côte d'Azur;63;9;18.7719298246
