;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;77;11;26.7916666667
1;2;Champagne;14;2;22.5
2;3;Picardie;21;3;16.2307692308
3;4;Haute-Normandie;14;2;23.0769230769
4;5;Centre;28;4;23.7037037037
5;6;Basse-Normandie;7;1;16.6666666667
6;7;Bourgogne;0;0;
7;8;Nord;7;1;45.0
8;9;Lorraine;21;3;35.3333333333
9;10;Alsace;21;3;23.75
10;11;Franche Comté;14;2;26.0714285714
11;12;Pays de la Loire;0;0;
12;13;Bretagne;7;1;14.1666666667
13;14;Poitou Charentes;42;6;23.8461538462
14;15;Aquitaine;21;3;15.4117647059
15;16;Midi-Pyrénées;35;5;20.5
16;17;limousin;7;1;25.7142857143
17;18;Rhône-Alpes;70;10;16.7966101695
18;19;Auvergne;21;3;13.0769230769
19;20;Languedoc;28;4;29.7368421053
20;21;Provence Côte d'Azur;28;4;18.0909090909
