;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;2233;319;22.1070090958
1;2;Champagne;490;70;21.9898734177
2;3;Picardie;553;79;20.3723404255
3;4;Haute-Normandie;553;79;20.66875
4;5;Centre;791;113;20.0984615385
5;6;Basse-Normandie;602;86;19.6779026217
6;7;Bourgogne;224;32;20.7743589744
7;8;Nord;889;127;19.2671957672
8;9;Lorraine;798;114;21.1120689655
9;10;Alsace;518;74;23.1428571429
10;11;Franche Comté;560;80;22.3559322034
11;12;Pays de la Loire;875;125;18.8926701571
12;13;Bretagne;833;119;19.5801324503
13;14;Poitou Charentes;630;90;20.127399651
14;15;Aquitaine;1029;147;19.6106785317
15;16;Midi-Pyrénées;546;78;19.1282051282
16;17;limousin;189;27;18.6993865031
17;18;Rhône-Alpes;1386;198;19.4979389942
18;19;Auvergne;518;74;19.9582417582
19;20;Languedoc;994;142;19.8904267589
20;21;Provence Côte d'Azur;917;131;20.203410475
