;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;56;8;20.7454545455
1;2;Champagne;14;2;12.9166666667
2;3;Picardie;28;4;12.9411764706
3;4;Haute-Normandie;35;5;26.5384615385
4;5;Centre;28;4;24.4444444444
5;6;Basse-Normandie;14;2;23.4615384615
6;7;Bourgogne;0;0;
7;8;Nord;42;6;17.5882352941
8;9;Lorraine;49;7;34.8571428571
9;10;Alsace;0;0;
10;11;Franche Comté;42;6;20.8108108108
11;12;Pays de la Loire;21;3;20.0
12;13;Bretagne;21;3;25.619047619
13;14;Poitou Charentes;56;8;19.6428571429
14;15;Aquitaine;35;5;19.8529411765
15;16;Midi-Pyrénées;21;3;19.5238095238
16;17;limousin;7;1;34.2857142857
17;18;Rhône-Alpes;91;13;18.1341463415
18;19;Auvergne;28;4;22.6785714286
19;20;Languedoc;49;7;20.0
20;21;Provence Côte d'Azur;35;5;21.4411764706
