;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;25242;601;31.8931479279
1;2;Champagne;5418;129;33.0605027695
2;3;Picardie;6216;148;32.9173553719
3;4;Haute-Normandie;5544;132;31.719665272
4;5;Centre;8526;203;32.9258226436
5;6;Basse-Normandie;5712;136;32.3781512605
6;7;Bourgogne;2856;68;32.4461778471
7;8;Nord;9534;227;29.3035926719
8;9;Lorraine;8148;194;31.0692013129
9;10;Alsace;4998;119;30.6974907063
10;11;Franche Comté;5502;131;31.6874236874
11;12;Pays de la Loire;9450;225;32.1349131863
12;13;Bretagne;9240;220;33.3201795841
13;14;Poitou Charentes;6888;164;32.638550453
14;15;Aquitaine;10248;244;32.210078534
15;16;Midi-Pyrénées;6426;153;31.7838209983
16;17;limousin;1848;44;31.6562874251
17;18;Rhône-Alpes;14406;343;30.8257953837
18;19;Auvergne;4914;117;31.3537020517
19;20;Languedoc;10668;254;30.6240334378
20;21;Provence Côte d'Azur;9534;227;31.8013969732
