;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;4452;106;32.4648351648
1;2;Champagne;1764;42;32.9248768473
2;3;Picardie;714;17;33.1327160494
3;4;Haute-Normandie;294;7;31.2301587302
4;5;Centre;1890;45;32.4557640751
5;6;Basse-Normandie;714;17;35.1702786378
6;7;Bourgogne;336;8;28.5350318471
7;8;Nord;2394;57;29.0894538606
8;9;Lorraine;882;21;31.6633663366
9;10;Alsace;336;8;34.8368794326
10;11;Franche Comté;378;9;31.1954022989
11;12;Pays de la Loire;1176;28;32.3747779751
12;13;Bretagne;882;21;35.7506234414
13;14;Poitou Charentes;630;15;32.501650165
14;15;Aquitaine;798;19;37.7020648968
15;16;Midi-Pyrénées;336;8;31.8136645963
16;17;limousin;84;2;29.625
17;18;Rhône-Alpes;756;18;29.8073654391
18;19;Auvergne;462;11;34.4439252336
19;20;Languedoc;1764;42;33.3201530612
20;21;Provence Côte d'Azur;1386;33;32.5726210351
