;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;1218;29;31.4355140187
1;2;Champagne;252;6;38.6272727273
2;3;Picardie;462;11;29.5169082126
3;4;Haute-Normandie;504;12;32.0336538462
4;5;Centre;546;13;31.7068273092
5;6;Basse-Normandie;336;8;30.625
6;7;Bourgogne;294;7;37.0212765957
7;8;Nord;588;14;32.5111111111
8;9;Lorraine;840;20;30.5866336634
9;10;Alsace;378;9;29.625
10;11;Franche Comté;126;3;21.875
11;12;Pays de la Loire;630;15;34.2007434944
12;13;Bretagne;714;17;32.3823529412
13;14;Poitou Charentes;546;13;31.4741035857
14;15;Aquitaine;1134;27;32.7035573123
15;16;Midi-Pyrénées;588;14;33.8779527559
16;17;limousin;84;2;38.6486486486
17;18;Rhône-Alpes;924;22;30.5284738041
18;19;Auvergne;294;7;34.6428571429
19;20;Languedoc;756;18;30.933908046
20;21;Provence Côte d'Azur;630;15;33.9820143885
