;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;11844;282;31.9280046449
1;2;Champagne;2478;59;33.4919786096
2;3;Picardie;2898;69;33.3549124143
3;4;Haute-Normandie;2226;53;31.6468682505
4;5;Centre;3780;90;34.5857418112
5;6;Basse-Normandie;2100;50;33.2970401691
6;7;Bourgogne;1512;36;32.2485632184
7;8;Nord;4200;100;29.9295466958
8;9;Lorraine;3360;80;30.3073270014
9;10;Alsace;1890;45;30.509202454
10;11;Franche Comté;2142;51;31.7034412955
11;12;Pays de la Loire;4200;100;32.8819843342
12;13;Bretagne;4242;101;34.6544987147
13;14;Poitou Charentes;3108;74;34.0769769069
14;15;Aquitaine;4074;97;33.8778280543
15;16;Midi-Pyrénées;3150;75;32.1
16;17;limousin;714;17;34.1176470588
17;18;Rhône-Alpes;6090;145;31.0562962963
18;19;Auvergne;1806;43;31.771393643
19;20;Languedoc;4704;112;31.2465093885
20;21;Provence Côte d'Azur;4032;96;31.1261160714
