;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;462;11;34.1805555556
1;2;Champagne;84;2;28.9024390244
2;3;Picardie;168;4;27.7974683544
3;4;Haute-Normandie;210;5;33.2222222222
4;5;Centre;252;6;35.9035087719
5;6;Basse-Normandie;84;2;20.6923076923
6;7;Bourgogne;84;2;29.1891891892
7;8;Nord;294;7;26.4388489209
8;9;Lorraine;252;6;35.0980392157
9;10;Alsace;252;6;34.9459459459
10;11;Franche Comté;168;4;36.2820512821
11;12;Pays de la Loire;420;10;33.2295918367
12;13;Bretagne;294;7;44.3571428571
13;14;Poitou Charentes;210;5;32.9207920792
14;15;Aquitaine;420;10;33.7352941176
15;16;Midi-Pyrénées;168;4;30.5774647887
16;17;limousin;84;2;35.125
17;18;Rhône-Alpes;630;15;33.7591836735
18;19;Auvergne;42;1;15.0
19;20;Languedoc;546;13;29.7186311787
20;21;Provence Côte d'Azur;168;4;36.7794117647
