;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;13398;319;31.8619014573
1;2;Champagne;2940;70;32.6653061224
2;3;Picardie;3318;79;32.5265306122
3;4;Haute-Normandie;3318;79;31.7657103825
4;5;Centre;4746;113;31.6520453425
5;6;Basse-Normandie;3612;86;31.8582535885
6;7;Bourgogne;1344;32;32.680887372
7;8;Nord;5334;127;28.8204047218
8;9;Lorraine;4788;114;31.583868011
9;10;Alsace;3108;74;30.8122662678
10;11;Franche Comté;3360;80;31.6766507828
11;12;Pays de la Loire;5250;125;31.5253515126
12;13;Bretagne;4998;119;32.1853957149
13;14;Poitou Charentes;3780;90;31.4785553047
14;15;Aquitaine;6174;147;31.1629971591
15;16;Midi-Pyrénées;3276;78;31.4687285223
16;17;limousin;1134;27;30.103515625
17;18;Rhône-Alpes;8316;198;30.6581357759
18;19;Auvergne;3108;74;31.1137640449
19;20;Languedoc;5964;142;30.1466026588
20;21;Provence Côte d'Azur;5502;131;32.2848581702
