;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;5085;601;63.9910029499
1;2;Champagne;1248;129;60.0240384615
2;3;Picardie;1236;148;58.9312297735
3;4;Haute-Normandie;1214;132;59.8603789127
4;5;Centre;1984;203;63.4744203629
5;6;Basse-Normandie;1370;136;57.6443430657
6;7;Bourgogne;687;68;58.5524017467
7;8;Nord;1537;227;74.9323357189
8;9;Lorraine;1817;194;56.1294716566
9;10;Alsace;837;119;70.7556750299
10;11;Franche Comté;1334;131;54.4401049475
11;12;Pays de la Loire;2315;225;62.3698920086
12;13;Bretagne;2152;220;65.2188243494
13;14;Poitou Charentes;1865;164;55.8324396783
14;15;Aquitaine;2496;244;61.1822315705
15;16;Midi-Pyrénées;1677;153;60.1599880739
16;17;limousin;516;44;51.9467054264
17;18;Rhône-Alpes;3257;343;59.4707399447
18;19;Auvergne;1258;117;58.0828696343
19;20;Languedoc;2369;254;65.9330941325
20;21;Provence Côte d'Azur;2184;227;63.6614148352
