;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;59;22;132.033898305
1;2;Champagne;7;4;104.285714286
2;3;Picardie;8;4;118.125
3;4;Haute-Normandie;16;5;111.875
4;5;Centre;31;7;128.064516129
5;6;Basse-Normandie;21;8;119.380952381
6;7;Bourgogne;24;7;145.625
7;8;Nord;36;13;124.027777778
8;9;Lorraine;13;5;168.461538462
9;10;Alsace;11;3;108.181818182
10;11;Franche Comté;54;25;119.166666667
11;12;Pays de la Loire;13;5;160.384615385
12;13;Bretagne;28;10;121.785714286
13;14;Poitou Charentes;18;7;96.5277777778
14;15;Aquitaine;17;7;130.294117647
15;16;Midi-Pyrénées;18;7;151.388888889
16;17;limousin;0;0;
17;18;Rhône-Alpes;14;10;91.7857142857
18;19;Auvergne;20;6;79.0
19;20;Languedoc;25;12;130.0
20;21;Provence Côte d'Azur;26;9;126.923076923
