;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;3152;319;82.5193527919
1;2;Champagne;620;70;80.0540322581
2;3;Picardie;672;79;77.2849702381
3;4;Haute-Normandie;721;79;78.4670596394
4;5;Centre;1079;113;76.5750695088
5;6;Basse-Normandie;885;86;78.9412429379
6;7;Bourgogne;259;32;80.1235521236
7;8;Nord;826;127;81.1603510896
8;9;Lorraine;1106;114;77.4749095841
9;10;Alsace;664;74;78.519984917
10;11;Franche Comté;808;80;81.5556930693
11;12;Pays de la Loire;1156;125;84.7980103806
12;13;Bretagne;1141;119;73.9500438212
13;14;Poitou Charentes;958;90;84.2296450939
14;15;Aquitaine;1443;147;84.2962577963
15;16;Midi-Pyrénées;830;78;81.2084337349
16;17;limousin;264;27;85.9526515152
17;18;Rhône-Alpes;2044;198;80.7150684932
18;19;Auvergne;701;74;84.987874465
19;20;Languedoc;1401;142;81.3154889365
20;21;Provence Côte d'Azur;1350;131;78.475962963
