;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;283;601;144.116607774
1;2;Champagne;43;129;150.930232558
2;3;Picardie;44;148;162.545454545
3;4;Haute-Normandie;64;132;159.6875
4;5;Centre;80;203;148.5
5;6;Basse-Normandie;48;136;145.416666667
6;7;Bourgogne;27;68;130.37037037
7;8;Nord;64;227;150.953125
8;9;Lorraine;58;194;126.293103448
9;10;Alsace;24;119;144.5
10;11;Franche Comté;48;131;132.5
11;12;Pays de la Loire;118;225;137.754237288
12;13;Bretagne;68;220;140.955882353
13;14;Poitou Charentes;92;164;174.402173913
14;15;Aquitaine;93;244;161.021505376
15;16;Midi-Pyrénées;91;153;142.307692308
16;17;limousin;21;44;164.523809524
17;18;Rhône-Alpes;118;343;135.805084746
18;19;Auvergne;49;117;166.326530612
19;20;Languedoc;104;254;153.677884615
20;21;Provence Côte d'Azur;81;227;156.419753086
