;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;476;35;312.368697479
1;2;Champagne;21;1;150.0
2;3;Picardie;100;7;286.05
3;4;Haute-Normandie;16;1;155.625
4;5;Centre;45;2;485.111111111
5;6;Basse-Normandie;81;3;297.777777778
6;7;Bourgogne;8;1;262.5
7;8;Nord;36;4;412.222222222
8;9;Lorraine;59;5;385.762711864
9;10;Alsace;45;2;340.0
10;11;Franche Comté;68;2;149.705882353
11;12;Pays de la Loire;161;8;275.48447205
12;13;Bretagne;21;2;295.714285714
13;14;Poitou Charentes;5;1;340.0
14;15;Aquitaine;95;5;299.052631579
15;16;Midi-Pyrénées;79;5;440.253164557
16;17;limousin;0;0;
17;18;Rhône-Alpes;170;10;381.029411765
18;19;Auvergne;0;1;
19;20;Languedoc;9;1;265.555555556
20;21;Provence Côte d'Azur;49;4;348.163265306
