;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;378;282;123.360449735
1;2;Champagne;92;59;142.793478261
2;3;Picardie;121;69;146.404958678
3;4;Haute-Normandie;67;53;136.865671642
4;5;Centre;128;90;148.25
5;6;Basse-Normandie;86;50;143.546511628
6;7;Bourgogne;28;36;118.214285714
7;8;Nord;123;100;144.390243902
8;9;Lorraine;104;80;152.875
9;10;Alsace;44;45;119.931818182
10;11;Franche Comté;77;51;113.392857143
11;12;Pays de la Loire;167;100;125.745508982
12;13;Bretagne;136;101;126.834558824
13;14;Poitou Charentes;137;74;141.788321168
14;15;Aquitaine;132;97;131.71969697
15;16;Midi-Pyrénées;99;75;134.646464646
16;17;limousin;25;17;112.6
17;18;Rhône-Alpes;207;145;128.862318841
18;19;Auvergne;49;43;133.93877551
19;20;Languedoc;160;112;128.865625
20;21;Provence Côte d'Azur;129;96;120.697674419
